                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1905,                 1.4503,                 1.2067,                0.74031,                0.59497,                0.68223,                0.44036,                 1.1879,                 1.0839,                 1.1606,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.3235,                 1.3337,                 1.2938,                0.72886,                0.58857,                0.66831,                 0.4305,                 1.2111,                 1.0759,                 1.2079,              0.0066002,              0.0066002,              0.0066002
                      3,                 1.4156,                 1.4349,                 1.3693,                0.74115,                0.56973,                0.65669,                0.42198,                 1.2264,                 1.0939,                 1.2289,              0.0098016,              0.0098016,              0.0098016
                      4,                 1.4153,                 1.4133,                 1.3754,                 0.7511,                0.58327,                0.67337,                0.43935,                   1.19,                 1.0418,                 1.2059,               0.009703,               0.009703,               0.009703
                      5,                 1.3514,                 1.3222,                  1.332,                0.75802,                0.59293,                0.68551,                0.45111,                 1.1664,                 1.0071,                 1.1927,               0.009703,               0.009703,               0.009703
                      6,                 1.3272,                 1.2816,                 1.3171,                0.76506,                0.59729,                 0.6941,                 0.4591,                 1.1529,                0.98404,                 1.1814,               0.009604,               0.009604,               0.009604
                      7,                  1.306,                 1.2479,                 1.2982,                0.77088,                0.60002,                0.69744,                0.46322,                 1.1468,                0.97371,                 1.1776,               0.009505,               0.009505,               0.009505
                      8,                 1.2933,                 1.2257,                 1.2917,                0.77612,                0.59989,                0.69951,                0.46576,                 1.1395,                0.96876,                 1.1723,               0.009406,               0.009406,               0.009406
                      9,                 1.2776,                 1.2102,                 1.2835,                0.77556,                0.60212,                 0.7014,                 0.4692,                 1.1329,                0.96386,                 1.1687,               0.009307,               0.009307,               0.009307
                     10,                  1.268,                 1.1991,                 1.2773,                0.77378,                0.60471,                0.70376,                0.47153,                 1.1271,                0.95968,                 1.1638,               0.009208,               0.009208,               0.009208
                     11,                 1.2682,                 1.1931,                  1.273,                0.77532,                0.60444,                0.70545,                0.47344,                 1.1223,                0.95558,                 1.1601,               0.009109,               0.009109,               0.009109
                     12,                 1.2478,                 1.1736,                 1.2652,                0.78381,                0.60332,                0.70715,                0.47541,                 1.1186,                0.94969,                 1.1569,                0.00901,                0.00901,                0.00901
                     13,                 1.2487,                 1.1755,                 1.2656,                0.78614,                 0.6023,                0.70973,                0.47773,                 1.1147,                0.94361,                 1.1542,               0.008911,               0.008911,               0.008911
                     14,                 1.2477,                 1.1679,                 1.2645,                 0.7868,                0.60577,                0.71179,                0.47964,                 1.1114,                0.93748,                  1.152,               0.008812,               0.008812,               0.008812
                     15,                  1.242,                 1.1664,                 1.2621,                 0.7906,                0.60833,                0.71421,                0.48196,                 1.1069,                0.93021,                 1.1487,               0.008713,               0.008713,               0.008713
                     16,                 1.2367,                 1.1502,                 1.2584,                0.79108,                0.61169,                0.71613,                0.48448,                 1.1032,                0.92296,                 1.1458,               0.008614,               0.008614,               0.008614
                     17,                 1.2429,                 1.1554,                 1.2591,                0.78871,                0.61306,                0.71772,                 0.4859,                 1.1003,                0.91545,                 1.1436,               0.008515,               0.008515,               0.008515
                     18,                 1.2396,                 1.1517,                 1.2565,                0.79258,                 0.6152,                0.72047,                0.48771,                 1.0977,                0.90967,                 1.1415,               0.008416,               0.008416,               0.008416
